Origen,E02006825,E02003719,E02003720,E02003721,E02003722,E02003723,E02003724,E02003725,E02003726,E02003727,E02003728,E02003729,E02003730,E02003731,E02003732,E02003733,E02003734,E02003735,E02003736,E02003737,E02003738,E02003739,E02006873,E02003740,E02006874,E02003742,E02003743,E02006877,E02003744,E02006878,E02003745,E02003746,E02003747,E02003748,E02003749,E02003750,E02003751,E02003752,E02003753,E02003754,E02003755,E02003756,E02003237,E02003757,E02003238,E02003758,E02003239,E02003759,E02003240,E02003760,E02003241,E02003761,E02003242,E02003762,E02003243,E02003763,E02003244,E02003764,E02003245,E02003765,E02003246,E02003766,E02003247,E02003767,E02003248,E02003768,E02003249,E02003769,E02003250,E02003770,E02003251,E02003771,E02003252,E02003772,E02003253,E02003773,E02003254,E02003774,E02003775,E02003255,E02003776,E02003257,E02003777,E02003778,E02003779,E02003780,E02003781,E02003783,E02003784,E02003785,E02003786,E02003787,E02003788,E02003789,E02003790,E02003791,E02003792,E02003793
E02003240,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,15,0,10,2,1,6,2,4,2,0,3,11,12,4,3,23,3,12,2,13,2,429,0,10,2,13,1,11,2,10,4,9,1,11,3,14,1,8,0,12,2,6,2,9,1,13,2,9,2,25,1,0,6,0,12,0,11,0,0,1,0,0,0,1,0,0,0,0,0,0,1
E02003760,0,4,4,3,5,2,1,0,5,1,1,2,2,1,3,13,7,7,8,6,1,5,13,1,23,6,7,12,13,9,6,23,15,17,12,9,16,78,37,27,135,121,4,119,3,136,3,56,3,280,5,196,5,144,4,132,5,217,3,82,10,128,7,53,18,85,8,68,8,54,10,28,10,36,9,38,14,31,10,8,3,11,16,0,4,4,0,2,6,2,8,8,4,0,2,3,3,5
E02003241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,2,0,0,0,1,1,0,6,6,16,3,16,13,2,41,4,21,5,10,2,20,8,8,1,19,1,9,0,51,0,8,0,124,0,13,2,28,0,17,0,10,0,10,0,24,0,8,2,13,1,6,1,9,0,13,1,13,0,10,0,0,19,0,11,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1
E02003761,1,1,1,1,0,0,1,0,0,0,1,0,0,0,1,1,3,1,4,3,1,3,3,0,3,1,1,0,0,2,3,0,2,2,2,1,3,4,4,4,13,6,0,9,1,19,0,9,0,25,0,39,0,18,0,19,1,23,1,6,0,11,0,4,2,13,1,9,2,7,0,5,0,8,1,3,0,3,3,1,0,1,0,0,0,3,0,0,3,0,2,2,0,1,3,0,0,1
E02003242,1,0,3,2,1,0,3,0,0,0,1,0,1,0,1,2,2,2,0,0,0,0,1,0,0,9,4,50,5,62,10,2,64,4,21,9,0,2,47,25,6,8,133,4,146,1,196,0,18,1,72,1,209,0,140,1,81,8,68,1,93,0,86,0,84,0,64,2,74,3,47,2,70,3,51,1,73,0,1,71,1,52,0,1,2,0,0,0,2,0,1,0,0,0,0,0,0,1
E02003762,3,4,4,10,6,8,8,5,4,3,2,6,3,1,7,27,18,11,18,17,9,3,19,4,47,4,6,33,7,63,8,18,39,25,43,23,36,105,112,79,180,204,15,139,16,196,29,82,13,241,12,176,9,460,14,178,16,341,24,95,23,138,13,115,22,113,32,141,41,96,14,66,36,92,20,115,35,49,15,40,6,37,22,8,10,25,9,9,24,8,4,16,5,8,7,4,2,3
E02003243,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,1,1,0,0,0,0,1,1,3,20,1,24,4,2,22,3,14,5,3,3,27,17,2,1,26,1,37,0,49,0,13,0,23,1,43,0,63,2,30,0,15,1,13,0,25,0,24,1,22,0,19,0,26,0,22,1,19,0,16,0,1,20,0,19,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
E02003763,2,4,4,7,6,3,7,2,0,3,3,4,4,2,10,25,7,15,16,9,1,4,11,8,31,2,9,1,7,4,6,8,8,12,4,15,13,67,23,7,100,27,2,101,4,182,0,130,2,79,0,48,3,36,4,314,3,60,1,151,0,47,2,15,12,122,2,27,0,25,1,16,1,24,3,14,3,18,29,4,11,5,24,7,16,8,8,5,5,3,2,8,7,4,8,2,7,6
E02003244,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,5,0,6,0,0,2,1,0,1,0,0,14,2,3,1,7,0,13,1,17,0,7,0,13,0,13,0,14,1,39,0,1,0,11,0,11,0,16,0,17,1,7,0,4,0,8,0,4,0,5,0,0,5,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E02003764,5,10,8,16,20,15,7,13,13,12,12,12,15,12,17,42,29,27,43,18,11,9,61,14,112,16,14,50,21,80,31,43,48,43,51,47,87,181,133,101,292,325,14,330,21,365,20,190,25,499,18,450,36,531,22,423,15,570,24,201,19,422,22,192,24,343,27,310,25,198,22,137,36,164,26,200,50,123,52,33,36,21,55,17,35,41,17,31,34,12,13,28,9,10,15,12,19,16
E02003245,0,0,0,0,1,0,2,0,1,0,0,0,0,0,1,0,1,2,1,0,0,0,1,0,2,3,19,54,12,82,16,7,41,6,29,6,9,6,51,13,5,17,45,2,68,1,53,0,30,2,46,0,64,1,51,2,43,3,79,4,71,2,75,1,66,2,70,3,93,0,45,0,89,3,48,4,49,0,0,58,0,29,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
